Categoría,Medicamento,Para qué sirve,Dosis terapéutica,Dosis máxima,Precauciones,Efectos secundarios,Dieta especial
Cardiovasculares (Antihipertensivos),Clortalidona,"Presión arterial alta, retención líquidos.","12.5-25 mg 1 vez/día","100 mg/día","Alergia a componentes, interacción con otros, dificultad orinar, diabetes, gota, enf. renal/hepática, embarazo/lactancia. Alcohol empeora efectos.","Mareos, náuseas, vómitos, diarrea, pérdida apetito, dolor cabeza. Graves: sed, cansancio, debilidad, ritmo acelerado, erupción.","Dieta baja en sal, suplementos/ alimentos ricos en potasio."
Cardiovasculares (Antihipertensivos),Furosemida,"Presión arterial alta, edema.","20-80 mg 1 vez/día","600 mg/día (hospitalario)","Alergia a componentes, interacción con AINEs/aspirina, enf. renal, diabetes, gota, enf. hepática, embarazo/lactancia. Puede causar mareos.","Visión borrosa, dolor cabeza, estreñimiento, diarrea. Graves: signos deshidratación, fiebre, pérdida audición, ampollas.","Dieta baja en sal o rica en potasio si indicada."
Cardiovasculares (Antihipertensivos),Espironolactona,"Insuficiencia cardíaca, potasio bajo, edema, presión arterial alta.","25-100 mg 1 vez/día","400 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, potasio alto, enf. renal/hepática, embarazo/lactancia.","Vómitos, diarrea, dolor estómago, senos dolorosos, disfunción eréctil. Graves: debilidad muscular, cambios ritmo, confusión, coloración amarillenta.","Evite sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Indapamida,"Presión arterial alta, retención líquidos por insuficiencia cardíaca.","1.25-2.5 mg 1 vez/día","5 mg/día","Alergia a componentes, problemas ritmo, diabetes, gota, enf. riñón/hígado, embarazo/lactancia. Causa somnolencia. El alcohol aumenta somnolencia.","Dolor cabeza, somnolencia, mareos, cansancio, confusión, calambres. Graves: pérdida peso rápida, erupción grave, palpitaciones.","Dieta baja en sal, suplementos/ alimentos ricos en potasio."
Cardiovasculares (Antihipertensivos),Atenolol,"Presión arterial alta, angina, mejora supervivencia tras infarto.","25-50 mg 1 vez/día","100 mg/día","Alergia a componentes, interacción con otros, ritmo lento, IC, asma, diabetes, hipertiroidismo, embarazo/lactancia. Puede causar mareos.","Mareos, aturdimiento, cansancio, depresión, náuseas, diarrea, ojos secos. Graves: falta aire, hinchazón, aumento peso, desvanecimiento.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Metoprolol,"Presión arterial alta, angina, mejora supervivencia tras infarto.","50 mg cada 12h","400 mg/día","Alergia a componentes, interacción con otros, ritmo lento, IC, asma, problemas circulación, diabetes, hipertiroidismo, embarazo/lactancia. No alcohol.","Mareos, aturdimiento, cansancio, diarrea, boca seca, sarpullido. Graves: falta aire, hinchazón, aumento peso, desvanecimiento, ritmo irregular.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Carvedilol,"Insuficiencia cardíaca, presión arterial alta, mejora supervivencia tras infarto.","6.25 mg cada 12h","50 mg/día","Alergia a componentes, interacción con Hierba de San Juan, asma, ritmo lento, IC, enf. hepática, diabetes, embarazo/lactancia. Causa cansancio/mareos.","Diarrea. Graves: desvanecimiento, falta aire, aumento peso, dolor pecho, ritmo lento/irregular, urticaria.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Propranolol,"Presión arterial alta, arritmias, temblores, angina, migrañas, mejora supervivencia.","40 mg cada 12h","320 mg/día","Alergia a componentes, interacción con antiácidos, cimetidina, AINEs, ritmo lento, IC, asma, diabetes, embarazo/lactancia. Fumar reduce eficacia.","Mareos, cansancio, diarrea, estreñimiento. Graves: sarpullido, urticaria, ampollas, dificultad respirar, hinchazón, desmayo.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Bisoprolol,"Hipertensión arterial.","5 mg 1 vez/día","20 mg/día","Alergia a componentes, interacción con otros, ritmo lento, IC, asma, enf. cardíaca/hepática/renal, diabetes, hipertiroidismo, embarazo/lactancia.","Dolor cabeza, mareos, cansancio, debilidad, náuseas, diarrea, dolor muscular, boca seca. Graves: falta aire, hinchazón, aumento peso, desvanecimiento.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Nebivolol,"Hipertensión arterial.","5 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con otros, ritmo lento, enf. hepática, IC, asma, diabetes, hipertiroidismo, problemas circulación, embarazo/lactancia.","Dolor cabeza, mareos, cansancio, náuseas, diarrea, insomnio, entumecimiento. Graves: falta aire, ritmo lento, hinchazón, aumento peso, dolor pecho.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Hidralazina,"Presión arterial alta.","10-25 mg 3-4 veces/día","300 mg/día","Alergia a componentes, interacción con otros, antecedentes infarto, enf. coronaria, enf. cardíaca/renal/hepática, embarazo/lactancia. Alcohol empeora efectos.","Enrojecimiento, dolor cabeza, náuseas, vómitos, diarrea, congestión. Graves: desmayos, dolor articular, fiebre, ritmo acelerado, hinchazón.","Tomar con comidas. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Minoxidil,"Hipertensión arterial (con otros medicamentos).","5 mg 1 vez/día","100 mg/día","Alergia a componentes, interacción con otros, antecedentes infarto, enf. cardíaca/renal, embarazo/lactancia. Causa somnolencia. Alcohol empeora efectos.","Aumento vello corporal, sensibilidad senos, dolor cabeza, náuseas. Graves: sarpullido, ritmo acelerado, hinchazón, aumento peso inexplicable.","Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Metildopa,"Presión arterial alta.","250 mg 2-3 veces/día","3 g/día","Alergia a componentes, interacción con hierro, enf. riñón/hígado (hepatitis/cirrosis), embarazo/lactancia. Causa somnolencia.","Dolor cabeza, debilidad muscular, hinchazón, molestias estomacales, vómitos, gases, boca seca. Graves: fiebre inexplicable, cansancio extremo, coloración amarillenta.","Dieta baja en sal si indicada."
Cardiovasculares (Hipolipemiantes),Atorvastatina,"Reduce riesgo infarto y ACV. Reduce colesterol.","10-20 mg 1 vez/día","80 mg/día","Alergia a componentes, interacción con cimetidina, niacina, enf. hepática, embarazo/lactancia. Alcohol aumenta riesgo.","Diarrea, acidez, gases, dolor articulaciones, olvidos. Graves: dolor muscular, fatiga, fiebre, orina oscura, coloración amarillenta, hinchazón.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Hipolipemiantes),Rosuvastatina,"Reduce riesgo infarto y ACV. Reduce colesterol.","5-10 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con otros, enf. hepática, embarazo/lactancia. Alcohol aumenta riesgo.","Estreñimiento, dolor estómago, mareos, insomnio, depresión, dolor articular, dolor cabeza. Graves: dolor muscular, fatiga, orina oscura, coloración amarillenta.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Hipolipemiantes),Simvastatina,"Reduce riesgo infarto y ACV. Reduce colesterol.","10-20 mg en la noche","40 mg/día","Alergia a componentes, interacción con niacina, enf. hepática, embarazo/lactancia. Alcohol aumenta riesgo.","Estreñimiento, dolor estómago, náuseas, dolor cabeza, olvidos, picor. Graves: dolor muscular, fatiga, orina oscura, coloración amarillenta, erupción.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Hipolipemiantes),Lovastatina,"Reduce riesgo infarto e ictus, cirugía cardíaca. Reduce colesterol.","20 mg con comida/noche","80 mg/día","Alergia a componentes, enf. hepática, embarazo/lactancia. Alcohol aumenta riesgo.","Estreñimiento, dolor cabeza, olvidos. Graves: dolor muscular, fatiga, orina oscura, coloración amarillenta, dolor estómago, erupción.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Hipolipemiantes),Ezetimiba,"Reduce colesterol en hipercolesterolemia y grasas en sangre.","10 mg 1 vez/día","10 mg/día","Alergia a componentes, interacción con otros, enf. hepática, embarazo/lactancia.","Diarrea, dolor garganta, secreción nasal, estornudos, dolor articular. Graves: erupción, hinchazón, ritmo acelerado, cansancio extremo, coloración amarillenta.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Hipolipemiantes),Fenofibrato,"Reduce colesterol, triglicéridos; aumenta HDL.","48-145 mg 1 vez/día","145 mg/día","Alergia a componentes, interacción con otros, enf. hepática/renal/vesícula, embarazo/lactancia.","Estreñimiento, diarrea, acidez, dolor espalda/brazos, dolor cabeza. Graves: dolor muscular, fiebre, ampollas, dificultad respirar, hinchazón.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Hipolipemiantes),Gemfibrozilo,"Reduce colesterol y triglicéridos.","600 mg cada 12h","1200 mg/día","Alergia a componentes, enf. riñón/hígado/vesícula, embarazo/lactancia.","Dolor estómago, acidez. Graves: dolor muscular, visión borrosa.","Dieta baja en grasa/colesterol. Seguir ejercicio/dieta."
Cardiovasculares (Antiplaquetarios),Aspirina (AAS),"Reduce fiebre, dolor leve/moderado, inflamación. Previene infartos, ACV.","Dolor: 325-650 mg cada 4-6h; Antiagregante: 75-100 mg/día","4 g/día","Alergia a componentes, interacción con otros, asma, úlceras, problemas hemorragia, enf. renal/hepática, embarazo/lactancia.","Náuseas, vómitos, dolor estómago, acidez. Graves: urticaria, hinchazón, dificultad respirar, ronquera, zumbidos, sangrado.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antiplaquetarios),Clopidogrel,"Previene infartos y ACV en personas con antecedentes.","75 mg/día","75 mg/día","Alergia a componentes, interacción con omeprazol, esomeprazol, AINEs/aspirina, enf. hepática/renal, embarazo/lactancia. Riesgo de sangrado.","Cansancio, dolor cabeza, mareos, náuseas, diarrea, sangrado nasal. Graves: urticaria, dificultad respirar, sangrado moretones, confusión.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antiplaquetarios),Ticagrelor,"Reduce riesgo infarto o ictus y coágulos en pacientes de alto riesgo.","90 mg cada 12h; luego 60 mg cada 12h","180 mg/día","Alergia a componentes, interacción con Hierba San Juan, AINEs/aspirina, arritmia, EPOC, asma, enf. hepática, embarazo/lactancia.","Mareos, náuseas, diarrea. Graves: dificultad respirar, dolor pecho, latidos irregulares, hinchazón.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Anticoagulantes),Warfarina,"Previene y trata coágulos sanguíneos. Previene complicaciones en arritmias.","2-5 mg/día (inicio)",,"Alergia a componentes, interacción con múltiples fármacos, diabetes, infección, diarrea, embarazo/lactancia. Alcohol y tabaco afectan.","Gases, hinchazón, dolor abdominal, cambios sabor, caída cabello. Graves: sangrado, moretones, dificultad respirar, coloración amarillenta.","Dieta saludable. Alimentos con Vitamina K afectan. Consulte a médico."
Cardiovasculares (Anticoagulantes),Enoxaparina (inyección),"Previene y trata trombosis venosa profunda. Previene complicaciones de angina e infarto.","1 mg/kg cada 12h",,"Alergia a componentes, interacción con AINEs/aspirina, enf. renal, infección cardíaca, úlceras, embarazo/lactancia.","Molestias estomacales, fiebre, irritación lugar inyección. Graves: sangrado, deposiciones negras, sangre orina, hinchazón.","No especifica."
Cardiovasculares (Anticoagulantes),Apixaban,"Previene ACV o trombos en fibrilación auricular, trombosis venosa.","5 mg cada 12h","10 mg/día","Alergia a componentes, interacción con Hierba San Juan, AINEs/aspirina, problemas hemorragia, enf. renal/hepática.","Graves: sangrado encías/nasal, orina rosa/café, heces negras, tos con sangre, hinchazón, mareo.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Anticoagulantes),Rivaroxaban,"Previene y trata trombosis venosa profunda y embolia pulmonar.","20 mg 1 vez/día con comida","20 mg/día","Alergia a componentes, interacción con Hierba San Juan, problemas hemorragia/úlcera, enf. renal/hepática, embarazo/lactancia.","Espasmos musculares, náuseas, dolor estómago, tos. Graves: heces con sangre, orina rosada, sangrado, mareos, sarpullido.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Anticoagulantes),Dabigatrán,"Previene o trata trombosis venosa profunda y embolia pulmonar.","150 mg cada 12h","300 mg/día","Alergia a componentes, interacción con otros, problema hemorrágico, úlcera, enf. renal, embarazo/lactancia.","Dolor/molestias estomacales, acidez, náuseas. Graves: sangrado, orina rosa, heces negras, tos con sangre, debilidad.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Otros),Digoxina,"Insuficiencia cardíaca, arritmias.","0.125-0.25 mg 1 vez/día","0.5 mg/día","Alergia a componentes, interacción con antiácidos, omeprazol, hierba San Juan, calcio, problemas tiroides, enf. renal, embarazo/lactancia. Causa somnolencia.","Mareos, somnolencia, cambios visión, sarpullido, ritmo irregular. Graves: vómitos, diarrea, pérdida apetito, hinchazón.","Dieta baja en sodio y suplemento potasio si indicado."
Cardiovasculares (Otros),Valsartán/Sacubitril,"Disminuye riesgo muerte/hospitalización en ciertos tipos insuficiencia cardíaca.",,,Alergia a componentes, interacción con AINEs/aspirina, diabetes, enf. renal/hepática, lactancia. Puede causar mareos.,"Tos, cansancio extremo. Graves: sarpullido, picazón, inflamación, falta aliento.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Otros),Eplerenona,"Hipertensión arterial. Mejora recuperación tras infarto.","25-50 mg 1 vez/día","50 mg/día","Alergia a componentes, interacción con Hierba San Juan, AINEs/aspirina, potasio alto, diabetes, gota, enf. renal/hepática, embarazo/lactancia.","Dolor cabeza, mareos, diarrea, tos, cansancio, síntomas gripales, aumento senos. Graves: dolor pecho, hormigueo, debilidad, confusión.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Otros),Amiodarona,"Arritmias ventriculares y taquicardia inestable.","800-1600 mg/día","1600 mg/día","Alergia a componentes, problemas tiroides/presión, embarazo/lactancia. Reduce fertilidad.","Estreñimiento, pérdida apetito, dolor cabeza, disminución deseo, insomnio, cambios gusto/saliva. Graves: erupción, hinchazón, neuropatía, fatiga.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Otros),Flecainida,"Previene latidos cardíacos irregulares mortales.","50 mg cada 12h","300 mg/día","Alergia a componentes, interacción con cimetidina, infarto, IC, enfermedad cardíaca, potasio bajo/alto, enf. renal/hepática, embarazo/lactancia.","Mareos, cambios visión, dolor cabeza, debilidad, temblor, estreñimiento. Graves: ritmo irregular, dolor pecho, falta aliento, hinchazón.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Otros),Propafenona,"Arritmias, mantiene frecuencia cardíaca normal.","150 mg cada 8h","900 mg/día","Alergia a componentes, interacción con cimetidina, diarrea, sudoración, vómitos, pérdida apetito, ritmo lento, presión baja, electrolitos alterados, IC, asma, embarazo/lactancia. Causa somnolencia/mareos.","Mareos, boca seca, dolor cabeza, náuseas, vómitos, diarrea, estreñimiento, pérdida apetito, sabor inusual, gases, cansancio, ansiedad, visión borrosa, temblor, insomnio, falta coordinación. Graves: falta aliento, dolor pecho, latidos irregulares, hinchazón, desvanecimiento.","Hable con su médico sobre alimentos/sustitutos sal con potasio."
Cardiovasculares (Otros),Lidocaína (inyección),"Arritmias (ritmo cardíaco irregular).",,,"Alergia a componentes, problemas graves ritmo cardíaco, enf. cardíaca/renal/hepática, embarazo/lactancia.","Mareos, somnolencia, vértigo, zumbido oídos, visión borrosa/doble, náuseas, vómito, entumecimiento, temblores. Graves: erupción, urticaria, dificultad respirar, piel pálida/azulada, convulsiones.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Otros),Bupivacaína,"Controla dolor durante cirugía o procedimientos médicos.",,,"Alergia a componentes, embarazo/lactancia. Puede haber pérdida temporal sensibilidad/movimiento.","Dolor/enrojecimiento lugar inyección. Graves: reacciones alérgicas, problemas neurológicos, cardiorrespiratorios.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Amoxicilina,"Infecciones: neumonía, bronquitis, oídos, nariz, garganta, vías urinarias, piel. Elimina H. pylori.","500 mg cada 8h o 875 mg cada 12h","3 g/día","Alergia a componentes, disminuye eficacia anticonceptivos, embarazo/lactancia.","Náuseas, vómitos, diarrea, decoloración temporal dientes. Graves: reacciones alérgicas, diarrea asociada a Clostridium difficile.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Amoxicilina/ácido clavulánico,"Infecciones: oídos, pulmones, senos, piel, vías urinarias.","875/125 mg cada 12h","2 g/125 mg cada 12h","Alergia a componentes, disminuye eficacia anticonceptivos, embarazo/lactancia.","Diarrea, molestias estomacales, vómitos, candidiasis vaginal. Graves: hepatitis colestática, reacciones alérgicas graves, diarrea asociada a C. difficile.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Cefuroxima,"Infecciones: bronquitis, gonorrea, piel, oídos, senos, garganta, amígdalas, tracto urinario.","250-500 mg cada 12h","1 g/día","Alergia a componentes, interacción con antiácidos/antagonistas H2/IBP, antecedentes de colitis, enf. renal/hepática, embarazo/lactancia.","Náuseas, vómitos, diarrea. Graves: reacciones alérgicas, colitis seudomembranosa.","Generalmente no es necesario cambiar la dieta."
